Ref,Item No.,NC#,Field 1,Field 2,Description,End1,End2,Cage No.,Date,Operation
HTH,56,183001,Basement-1,,T-Radius Offset,350.0x750.0,350.0x750.0,22,30-08-2024,Storaged
HTH,57,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,23,30-08-2024,Storaged
HTH,58,183001,Basement-1,,T-RAD-B,750.0x350.0,750.0x350.0,23,30-08-2024,Storaged
HTH,59,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,22,30-08-2024,Storaged
HTH,60,183001,Basement-1,,T-RAD-B,750.0x350.0,750.0x350.0,22,30-08-2024,Storaged
HTH,61,183001,Basement-1,,T-RAD-B,350.0x750.0,350.0x750.0,22,30-08-2024,Storaged
HTH,62,183001,Basement-1,,TDFL STRT,350.0x750.0,350.0x750.0,22,30-08-2024,Storaged
HTH,63,183001,Basement-1,,T-RAD-B,350.0x750.0,350.0x750.0,22,30-08-2024,Storaged
HTH,65,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,22,30-08-2024,Storaged
HTH,66,183001,Basement-1,,T-Taper,750.0x350.0,400.0x300.0,22,30-08-2024,Storaged
HTH,68,183001,Basement-1,,T-RAD-B,400.0x300.0,400.0x300.0,22,30-08-2024,Storaged
HTH,69/1,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Storaged
HTH,69/2,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Storaged
HTH,69/3,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Storaged
HTH,69/4,183001,Basement-1,,RND Spigot,200.0,,22,30-08-2024,Storaged
HTH,56,183001,Basement-1,,T-Radius Offset,350.0x750.0,350.0x750.0,22,30-08-2024,Delivered
HTH,57,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,23,30-08-2024,Delivered
HTH,58,183001,Basement-1,,T-RAD-B,750.0x350.0,750.0x350.0,23,30-08-2024,Delivered
HTH,59,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,22,30-08-2024,Delivered
HTH,60,183001,Basement-1,,T-RAD-B,750.0x350.0,750.0x350.0,22,30-08-2024,Delivered
HTH,61,183001,Basement-1,,T-RAD-B,350.0x750.0,350.0x750.0,22,30-08-2024,Delivered
HTH,62,183001,Basement-1,,TDFL STRT,350.0x750.0,350.0x750.0,22,30-08-2024,Delivered
HTH,63,183001,Basement-1,,T-RAD-B,350.0x750.0,350.0x750.0,22,30-08-2024,Delivered
HTH,65,183001,Basement-1,,TDFL STRT,750.0x350.0,750.0x350.0,22,30-08-2024,Delivered
HTH,66,183001,Basement-1,,T-Taper,750.0x350.0,400.0x300.0,22,30-08-2024,Delivered
HTH,68,183001,Basement-1,,T-RAD-B,400.0x300.0,400.0x300.0,22,30-08-2024,Delivered
HTH,69/1,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Delivered
HTH,69/2,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Delivered
HTH,69/3,183001,Basement-1,,RND Spigot,150.0,,22,30-08-2024,Delivered
HTH,69/4,183001,Basement-1,,RND Spigot,200.0,,22,30-08-2024,Delivered
